CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC48412,Wainuiomata Choir Incorporated,9 Sheehy Grove, ,Wainuiomata,Lower Hutt,5014,,-41.2636683,174.9430692
CC48104,The Edith Collier Trust,"BELTON, SMITH & ASSOCIATES LTD",PO Box 4386, ,Wanganui,4541,,-39.9301234,175.0500071
CC49276,Northern Emerging Talents Trust,140 Lawson Drive,, ,Tutukaka,0173,,-35.634442,174.5377449
CC48258,Auckland Youth Arts Trust,71D Lake Road, ,Devonport,Auckland,0624,,-36.8126275,174.7919931
CC48158,Christchurch Coastal Pathway Group Incorporated,3 McCormacks Bay Road, ,Mount Pleasant,Christchurch,8081,,-43.5560177,172.7206175
CC48208,The Healing Hands Spiritualist Church Papakura Incorporated,Wellington Park,1 Great South Road,Papakura,Auckland,2113,,-37.0543208,174.9323313
CC50812,New Zealand Tango Festival Charitable Trust,127A Abel Smith Street, ,Aro Valley,Wellington,6011,,-41.2950605,174.7698047
CC48130,LOVE OF JESUS CHURCH,15 Rimu Road, ,Manurewa,Auckland,2102,,-37.0328341,174.8999221
CC48598,MANUKAU NEW LIFE COMMUNITY TRUST,12 Jellicoe Road, ,Manurewa,Auckland,2102,,-37.0189696,174.8886325
CC48007,Maniototo Anglican Church Trust No. 2,5106 Danseys Pass Road,RD 2,Naseby,Ranfurly,9396,,-45.0264837,170.15302
CC48149,Prebbleton School Parent Teacher Association,Prebbleton School,4 Blakes Road, ,Prebbleton,7604,,-43.5776612,172.5137446
CC48225,Nelson Samba Collective Charitable Trust,7 Dodson Valley Road, ,Atawhai,Nelson,7010,,-41.2367803,173.3181809
CC48443,Tatum Scout Memorial Trust,1 Kaiwharawhara Road, ,Kaiwharawhara,Wellington,6035,,-41.2600742,174.7893409
CC49463,Sri Veda Vidya Pitham Incorporated,Flat 1,1 Amberwood Drive,Northpark,Auckland,2013,,-36.9201946,174.9158326
CC50234,Tere Waitomo Community Trust,709 Waitomo Caves Road,Waitomo 3977, ,Waitomo,3977,,-38.262211,175.1144912
CC48418,Excellere College Support Group,39 Great North Road, ,Kamo,Whangarei,0112,,-35.6694439,174.2973748
CC49222,Opape Marae and Urupa Trustees,120A Wellington Street,, ,Opotiki,3122,,-38.0145605,177.2892213
CC48830,Waitakere Indian Association,399 Don Buck Road, ,Massey,Auckland,0614,,-36.8346347,174.603468
CC48410,Young Muslim Women's Association Incorporated,406 Richardson Road, ,Mount Roskill,Auckland,1041,,-36.909924,174.7258515
CC48335,Highland Home Christian Camp,1352 Pohangina Valley East Road,RD 14,Pohangina,Ashhurst,4884,,-40.1261882,175.8618516
CC48169,New Zealand Chinese Methodist Charitable Trust,37 Divich Avenue, ,Te Atatu South,Auckland,610,,-36.87935,174.6513234
CC50154,Ararimu Pre-School Incorporated,CNR Ararimu 1 Steel Road, ,Ararimu,RD 3 Drury,2579,,-37.140668,175.0373941
CC48139,The YMCA Palmerston North Community Trust,125 Grey Street, ,Springvale,Wanganui,4501,,-39.9290186,175.031237
CC48618,Te Maata Marae and Reihana Taukawau Waahi Tapu Trust,2304 Whangarei Heads Road,RD 4,Whangarei Heads,Whangarei,0174,,-35.8250507,174.5232783
CC48138,Porirua City Band Youth Trust,2B Wi Neera Drive, ,Porirua City Centre,Porirua,5022,,-41.12732,174.8402559
CC48014,The Church of God in Wellington Incorporated,Moera Community Hall,Randwick road,Moera,Hutt City,5010,,-41.2245696,174.9056422
CC48244,New Zealand Essential Tremor Support Group Incorporated,12 Coates Avenue, ,Orakei,Auckland,1071,,-36.8540976,174.8128395
CC48147,Vernon Tews Charitable Trust,41A Merani Street,,Narrow Neck,Auckland,0622,,-36.8090048,174.7959678
CC48159,Northern Community Family Service,43 Hobson Avenue,, ,Kerikeri,230,,-35.2297107,173.9498039
CC48148,Ray Watts Charitable Trust,Level 14,45 Johnston Street,Wellington Central,Wellington,6011,,-41.2827678,174.7763466
CC48193,The Jackson Family Foundation,Level 13,41 Shortland Street, ,Auckland,1010,,-36.8470031,174.7677706
CC48414,Ryder-Cheshire Foundation Waikato,97 Sandwich Road, ,Saint Andrews,Hamilton,3200,,-37.7493402,175.2534044
CC48337,Glen Eden Community and Recreation Centre Incorporated,111 Glendale Road, ,Glen Eden,Auckland,0602,,-36.9189386,174.6492161
CC51337,Ohotu 1C1 Matahiwi Marae Trustees,4 Kea Place, ,Whanganui East,Whanganui,4500,,-39.9043127,175.0671389
CC48323,Intercp NZ,3 Dianthus Place,,Browns Bay,Auckland,0630,,-36.7243189,174.7308898
CC49075,Creative Waikato,11 Garden Place, ,Hamilton Central,Hamilton,3204,,-37.7879857,175.2821331
CC49392,Beerescourt Tennis Club Incorporated,68 Maeroa Road, ,Maeroa,Hamilton,3200,,-37.7723092,175.2613529
CC48413,Tiger Charitable Trust,LEVEL 1,5 Crummer Road,Grey Lynn,Auckland,1021,,-36.8591435,174.7499351
CC49668,Carey Trust 2012,17 Oxford Street, ,Tawa,Wellington,5028,,-41.1721288,174.8262962
CC48260,Hosea Charitable Trust,12 Eleventh Avenue,, ,Tauranga,3110,,-37.7015161,176.1656714
CC48299,Rei Foundation Limited,13/143 Quay Street, ,Auckland Central,Auckland,1010,,-36.8396446,174.7655329
CC48429,Ethos Foundation ,10 Taharoto Road, ,Takapuna,Auckland,622,,-36.7902286,174.7611758
CC48972,Kiwitea Water Scheme Trust,GREER & WONG LTD,233 Broadway Avenue, ,Palmerston North,4414,,-40.3507654,175.619675
CC48314,New Zealand Sikh Community Tauranga Trust,43 Burrows Street, ,Tauranga South,Tauranga,3112,,-37.7092706,176.1640883
CC48420,The Pitt Island Barge Society,Pitt Island,, ,Chatham Islands,,,-44.2898582,-176.2260131
CC48100,Pilgrim Baptist Church,54 Winsford Street,,Manurewa,Auckland,2102,,-37.0242491,174.881201
CC48534,Shekinah Tabernacle,113 George Street, ,Stokes Valley,Lower Hutt,5019,,-41.1680794,174.9812215
CC48357,Naseby Development Charitable Trust,78 Reservoir Road, ,Oamaru North,Oamaru,9400,,-45.0799157,170.9702843
CC48815,Mount Egmont Alpine Club Incorporated,PO Box 62,, ,Hawera,4640,,-39.5891194,174.2826385
CC48404, Korean Positive Ageing Charitable Trust,160 Murphys Road, ,Flat Bush,Auckland,2019,,-36.9792331,174.919959
CC48242,Asert-Tatou Development Trust,Raiha Street, ,Kenepuru,Porirua,5022,,-41.1440999,174.8288331
CC48073,Stepping Stone Ministries Trust,161 Peers Road,RD 1, ,Tauranga,3171,,-37.8429429,176.0738077
CC48555,Ross Charitable Trust,Level 9 Southern Cross Bld,59 High Street,CBD,Auckland,,,-36.8489377,174.7660721
CC48184,SOUTH PACIFIC TRUE BUDDHAS CHARITABLE TRUST BOARD ,80 Yates Road, ,Mangere East,Auckland,2024,,-36.9627616,174.8192719
CC48352,Forward Foundation,354A Ilam Road, ,Bryndwr,Christchurch,8053,,-43.5100188,172.5878687
CC49795,Friends of Puke Ariki Incorporated,1 Ariki Street,New Plymouth 4310, ,New Plymouth,4310,,-39.0572043,174.071318
CC48192,Multiples NZ Incorporated,2 Golfland Drive, ,Golflands,Auckland,2013,,-36.9217118,174.9127575
CC49619,New Zealand Care Society Incorporated,20B Cotter Street,, ,Greytown,5712,,-41.0872516,175.4480634
CC48093,Byte Charitable Trust,151 Cambridge Terrace, ,Christchurch Central,Christchurch,8013,,-43.5300905,172.6328345
CC48507,Fair Food,Unit 2, 624 Rosebank Road,Avondale,Auckland,1026,,-36.8739251,174.6693185
CC48811,Ardour Charitable Trust,14A Shaftesbury Street, ,Avonhead,Christchurch,8042,,-43.5139349,172.5605112
CC49567,The New Zealand Catalina Preservation Society Incorporated,PO Box 72527,, ,Papakura,2244,,-37.0623638,174.9478327
CC48527,St Christopher's Trust,20 Minnehaha Avenue,88 Harold Street,Takapuna,Auckland,0622,,-36.778866,174.7767185
CC48773,Jack Checkley Charitable Trust,21 Bells Road,RD 2, ,Blenheim,7272,,-41.5125328,173.9061662
CC48355,Tautoko Mai Sexual Harm Support Services Trust,Unit G,120 Hamilton Street, ,Tauranga,3110,,-37.6826274,176.1645341
CC48394,Seniornet Rotorua Incorporated,11 Wylie Street, ,Glenholme,Rotorua,3010,,-38.1542271,176.2520276
CC49587,Day By Day Christian Ministries Charitable Trust,Flat 1,5 Treagon Place,Papatoetoe,Auckland,2025,,-36.9777145,174.8347767
CC48327,Heart For Youth Charitable Trust,48A Cresta Avenue, ,Beach Haven,Auckland,626,,-36.7877164,174.6854963
CC48111,St. Thomas Aquinas School Parent Teacher Association,1 Church Street,, ,Winton,9720,,-46.1505162,168.3277315
CC48217,Fit Futures Charitable Trust,74 Howell Avenue, ,Riverlea,Hamilton,3216,,-37.8044051,175.3179136
CC48131,Takanini Community Church Property Trust,27 Fairview Avenue, ,Opaheke,Papakura,2113,,-37.0756732,174.9457337
CC48434,Sydenham Botanic Park Funding Trust,63 Grace Road, ,Tauranga South,Tauranga,3112,,-37.7062721,176.1631107
CC48076,Peria Assembly of God Trust Board,12 Sheffield Street,, ,Matamata,3400,,-37.8136892,175.7628948
CC50039,Tangata Atumotu Trust,28 Bealey Avenue, ,Christchurch Central,Christchurch,8013,,-43.5211561,172.6286736
CC49646,Oraka Aparima Runaka Holdings Limited,175 Palmerston Street,, ,Riverton,9822,,-46.3528777,168.0131096
CC48153,Chinese Christian Mission NZ Trust,20 Amersham Way, ,Manukau,Auckland,2104,,-36.9918819,174.8785492
CC49122,Auckland Tuhoe Society Incorporated,10 Tripoli Road, ,Panmure,Auckland,1072,,-36.9002565,174.8585045
CC48401,Word Of Truth Ministries ,6 Franshell Crescent, ,East Tamaki,Auckland,2013,,-36.9400662,174.9063301
CC48239,Cromwell Bike Park Incorporated,271 Bannockburn Road,RD 2, ,Cromwell,9384,,-45.0747581,169.1728672
CC48230,Life In Vacant Spaces Charitable Trust,6 Show Place, ,Addington,Christchurch,8024,,-43.5414,172.6033295
CC48695,Kia Ora FM 89.8 Trust,140 Maxwells Line, ,Awapuni,Palmerston North,4412,,-40.3791599,175.5842512
CC49126,Hibiscus Coast Orchid Society,26A Ormonde Drive,, ,Silverdale,0932,,-36.6143952,174.6684873
CC48744,Nga Tohunga o Te Moana a Toi,C/O GLENDA STEWART  213 Rewatu Road,RD 1, ,Whakatane,3191,,-37.9824015,176.9807685
CC48026,Adullam Humanitarian Aid Trust,20 Amersham Way, ,Manukau,Auckland,2104,,-36.9918819,174.8785492
CC48180,St John's School Parent Teacher & Friends Association,St John's School,87A Penzance Road,Mairangi Bay,Auckland,630,,-36.7379722,174.7426152
CC48038,Remarkable Theatre Incorporated,c/o Showbiz Queenstown,"29, Isle Street", ,Queenstown,9300,,-45.031159,168.65598
CC49332,Maori Women's Development Incorporated,78 Victoria Street, ,Wellington Central,Wellington,6011,,-41.2886977,174.7758166
CC49153,LEARNING ENVIRONMENTS NEW ZEALAND,2 Marston Street, ,Parnell,Auckland,1052,,-36.8503555,174.7783077
CC48331,Lightstream International Trust,Unit 6,71 Hingaia Road,Karaka,Papakura,2113,,-37.0743486,174.9231811
CC48277,Marshall Laing Music School Charitable Trust,39 Marshall Laing Avenue, ,Mount Roskill,Auckland,1041,,-36.9160369,174.7185671
CC48353,Rotary Club Of Invercargill South Inc Charitable Trust,19 King Street, ,Windsor,Invercargill,9810,,-46.3985678,168.3627925
CC48370,The Swedish School Association in the Bay of Plenty,41 Cook Street, ,Gate Pa,Tauranga,3112,,-37.709228,176.1427685
CC48117,Christ's Commission Fellowship New Zealand Trust,3 Cheval Drive, ,Totara Vale,Auckland,0629,,-36.7628183,174.7262095
CC49010,Rotorua Pacific Islands Development Charitable Trust,1334 Hinemoa Street,Rotorua 3010,Mangakakahi,Rotorua,3010,,-38.1382399,176.2459779
CC48265,Hawea Food Forest,286 Lakeview Terrace,RD 2,Lake Hawea,Wanaka,9382,,-44.6100739,169.2796822
CC48690,Envirohub Marlborough Charitable Trust,14 Auckland Street,Picton 7220, ,Picton,7220,,-41.2895816,174.0059388
CC48279,Marjorie Nightingale Singing Scholarship,78 Selwyn Place,, ,Nelson,7010,,-41.2754597,173.2854757
CC48515,Southern Cross Hospitals Palmerston North Partnership Limited,"Level 14, ANZ Centre",23-29 Albert Street,Auckland Central,Auckland,1010,,-36.8455854,174.7635318
CC48564,Circability Trust,203-271 Victoria Street West, ,Auckland Central,Auckland,1010,,-36.8479757,174.7551504
CC48867,FEDERATION DES ALLIANCES FRANCAISES DE NOUVELLE-ZELANDE INCORPORATED,4 Taunton Place, ,Stoke,Nelson,7011,,-41.3092507,173.2435505
CC48281,Family Builders International,47 Mount Roskill Road, ,Mount Roskill,Auckland,1041,,-36.9075719,174.7372922
CC49190,Nga Hau E Wha Maara Kai Charitable Trust,4 Bp Road,Taumarunui 3920, ,Taumarunui,3920,,-38.8819492,175.3028509
CC48802,WOOMB NZ Charitable Trust,9 Good Street,, ,Rangiora,7400,,-43.3026977,172.5939271
CC49013,Yaldhurst Tennis Club Incorporated,The Yaldhurst Domain, School Road,Yaldhurst,Christchurch,,,-43.5093255,172.5005456
CC49693,New Zealand Infant and Toddler Consortium,41 Arrowsmith Road,RD 2,Waitākere,Henderson,0782,,-36.8473266,174.5223868
CC48677,Waikato Ethnic Family Services Trust,14 Karen Crescent, ,Dinsdale,Hamilton,3204,,-37.8000903,175.2503228
CC48317,Rarangi Surf Life Saving Club Incorporated,Whites Bay,Port Underwood Rd,Rarangi,Blenheim,7273,,-41.3847701,174.057372
CC48779,Climax 1650 Steam Trust Board,41 Burrell Road,,Oneroa,Waiheke Island,1081,,-36.7937174,175.0196986
CC48490,New Zealand Secondary Schools Athletic Association Incorporated,664 Cameron Road, ,Tauranga South,Tauranga,3112,,-37.702167,176.1562515
CC49307,Te Runanga o Ngati Kea Ngati Tuara Charitable Trust,28 Tarewa Road,, ,Rotorua,3010,,-38.1318278,176.241308
CC48707,The Good Shepherd New Zealand Trust,Level 4,48 High Street,Auckland Central,Auckland,1010,,-36.8483896,174.766485
CC48632,Civic Property Pool,116 Lambton Quay,114 - 118 Lambton Quay,Wellington Central,Wellington,6011,,-41.2802795,174.7756779
CC48305,Martinborough Museum,7 Memorial Square,, ,Martinborough,5711,,-41.2189474,175.4602201
CC48358,Tax Policy Charitable Trust,45 Johnston Street,Level 7,Wellington Central,Wellington,6011,,-41.2827678,174.7763466
CC48774,Ellesmere Heritage Park Trust,1618 Leeston Road,RD 3, ,Leeston,7683,,-43.7553755,172.3128118
CC48563,Mauao Performing Arts Centre Charitable Trust,11 Totara Street,, ,Mount Maunganui,3116,,-37.6436188,176.1862743
CC48243,Rimu Home and School Committee,442 Rimu Road,RD 1, ,Invercargill,9871,,-46.4004097,168.5008858
CC48603,Komiti Marae Orakei Trust,59B Kitemoana Street,Orakei,Orakei,Auckland,1071,,-36.8489314,174.8223886
CC48489,Methven Netball Club Incorporated,156 Forest Drive,, ,Methven,7730,,-43.6271084,171.6356051
CC48933,South Canterbury Highland Pipe Band,2 Turnbull Street,Timaru 7910, ,Timaru,7910,,-44.4002265,171.2574723
CC48320,Shining Lights Trust Board,252 Otumoetai Road, ,Otumoetai,Tauranga,3110,,-37.681225,176.1356285
CC48778,Tuapeka Aquatic Centre Incorporated,6 Blue Spur Road,RD 3, ,Lawrence,9593,,-45.9052095,169.6823323
CC48449,The Breast Room In The House,South City Mall,Cargills corner,South Dunedin,Dunedin,9012,,-45.8927441,170.4998977
CC48328,Arrow Leadership NZ Trust,35B Gunns Crescent, ,Cashmere,Christchurch,8022,,-43.5729894,172.6379437
CC48304,St Barnabas Fendalton Trust,8 Tui Street, ,Fendalton,Christchurch,8041,,-43.5195438,172.5970853
CC48347,U3A Port Hills Incorporated,2 Calverton Place, ,Halswell,Christchurch,8025,,-43.575643,172.5540527
CC48445,Arborfield Sanctuary Charitable Trust,199 Shepherd Road,RD 5, ,Wellsford,975,,-36.2599194,174.5404237
CC48407,Community Education Trust Auckland,"Level 5, 55 Anzac Avenue", ,Auckland Central,Auckland,1010,,-36.8471204,174.7719067
CC49386,Historic Places Manawatu-Horowhenua Incorporated,231 College Street, ,West End,Palmerston North,4412,,-40.3678016,175.6028966
CC48871,The Korean Helpline,104 Riccarton Road, ,Riccarton,Christchurch,8041,,-43.5295835,172.6005877
CC48233,Our Lady Of Victories School Parents and Friends Association,106 Main South Road, ,Sockburn,Christchurch,8042,,-43.5360898,172.5591196
CC50032,ProCare Charitable Foundation,Public Trust Charities,"Level 8, 22 Willeston Street", CBD,Wellington,6011,,-41.2864564,174.7767067
CC49379,Whitford Forrest Archers Incorporated,52 Pearson Road,RD 1, ,Howick,2571,,-36.9400881,174.940087
CC48366,Jesus Calls New Zealand Trust,Suite 1,80 Carr Road,Mount Roskill,Auckland,1041,,-36.9123784,174.749196
CC48667,The New Zealand - Viet Nam Health Trust,55 Roseneath Terrace, ,Roseneath,Wellington,6011,,-41.2956675,174.8011154
CC48823,Waikawa Marae,210 Waikawa Road, ,Waikawa,Picton,7220,,-41.2763013,174.0296076
CC51051,The Lions Clubs New Zealand Charitable Trust,20 Baxter Street,Warkworth 0910, ,Warkworth,0910,,-36.3983125,174.6669847
CC48182,Rukuhia School Parent and Teacher Association (PTA),58 Rukuhia Road,RD 2, ,Hamilton,3882,,-37.8536061,175.2997439
CC48826,The Whau River Catchment Trust,36 Rathlin Street, ,Blockhouse Bay,Auckland,0600,,-36.9189204,174.7056295
CC48715,Izard Rodney College Trust,287 Rodney Street,, ,Wellsford,0900,,-36.2878549,174.5207526
CC48686,Geraldine Children Social Work Trust,5A Peel Street,, ,Geraldine,7930,,-44.090923,171.2424773
CC48853,Auckland Basketball Services Limited,"Sport Auckland House, Level 4","Gate B, Alexandra Park Function Centre, Greenlane West",Epsom,Auckland,1051,,-36.8923218,174.7762234
CC48359,Graeme Dingle Foundation Auckland,145 St George Street, ,Papatoetoe,Auckland,2025,,-36.9792089,174.8585238
CC48419,Bream Bay Community Support Trust,9 Takutai Place,Ruakaka 0116, ,Ruakaka,0116,,-35.8750208,174.4572608
CC48369,Mothers Helpers,200 Hardy Street,Nelson 7010,Waiatarua,Nelson,7010,,-41.2745312,173.2843713
CC48551,Holocaust Centre Of New Zealand Incorporated,80 Webb Street, ,Te Aro,Wellington,6011,,-41.2972244,174.7721522
CC48307,ACK WAIKATO CHURCH TRUST,61 Ascot Road, ,Chartwell,Hamilton,3210,,-37.7576103,175.2847728
CC48371,Emmanuels Mission Trust,Pharazyn Road,R D 7, ,Feilding,4777,,-40.1941807,175.6019979
CC48440,Te Mana O Ngati Rangitihi Charitable Trust,35 Heale Street,RD 4,Matata,Whakatane,3194,,-37.8888668,176.7579588
CC49407,Cobham Intermediate Parent Teacher Association Incorporated,294 Ilam Road, ,Burnside,Christchurch,8053,,-43.5107083,172.5845354
CC48373,Ellerslie Community Patrol Charitable Trust,127 Main Highway, ,Ellerslie,Auckland,1051,,-36.898222,174.8097961
CC48458,Kaipatiki Youth Development Trust,15 Chartwell Avenue, ,Glenfield,Auckland,0629,,-36.7839908,174.7325732
CC48606,Ngaio School Parent Teacher Association,Ngaio School,Abbot Street,Ngaio,Wellington,6035,,-41.2491214,174.775761
CC48261,The Methodist Church Of New Zealand Te Haahi Weteriana O Aotearoa Christchurch Central Parish - Parish ,309 Durham Street North, ,Christchurch Central,Christchurch,8013,,-43.5280658,172.6332384
CC48556,Maketu Ongatoro Wetland Society Incorporated,9 Whenuariri Place,RD 9,Maketu,Te Puke,3189,,-37.7603599,176.4632816
CC48718,City Park Community Patrol Incorporated,Flat 1,144A Riverlaw Terrace,Saint Martins,Christchurch,8022,,-43.5537609,172.6541334
CC48664,Kaingahoa Marae Mataraua,945 Mataraua Road,Kaikohe 0474,Te Puru,Kaikohe,0474,,-35.5024286,173.7656531
CC48415,Fatoaga O Keliso,15 Apple Orchard Way, ,Sunnyvale,Auckland,0612,,-36.901237,174.629902
CC48692,Matahuru Papakainga Marae Reservation,58B Harris Street,, ,Huntly,3700,,-37.5604634,175.1516362
CC48653,Rotorua Symphonic Band Incorporated,12 Garrick Place, ,Pukehangi,Rotorua,3015,,-38.1332704,176.201726
CC48842,Figure.NZ Trust,9541/17B Farnham Street, ,Parnell,Auckland,1052,,-36.8512528,174.7820388
CC48322,"Faith and Life Changing Ministries, Timaru Branch",11 Cains Terrace,, ,Timaru,7910,,-44.3964615,171.2550237
CC48595,Resource Recovery Devonport Trust,27 Lake Road, ,Devonport,Auckland,0624,,-36.8211767,174.7960297
CC48661,Waimate Community Garden Incorporated,172 High Street,, ,Waimate,7924,,-44.7285906,171.0422524
CC48656,Porirua Church of Christ,27A Mungavin Avenue,73 Kenepuru Drive,Ranui,Porirua,5024,,-41.1388275,174.8501702
CC48473,Wellington Light of Life Chinese Church,35 George Street, ,Stokes Valley,Lower Hutt,5019,,-41.1661784,174.9823254
CC48579,St Andrews Community Trust,85 Queen Street,, ,Waiuku,2123,,-37.252425,174.7305359
CC48691,The Burn Support Group Charitable Trust,16 Albion Road, ,Otahuhu,Auckland,,,-36.9396906,174.840895
CC48882,Ministry of Inspiration,23 Alma Street,, ,Nelson,7010,,-41.2738408,173.2864606
CC49131,Aotearoa Football Charitable Trust,5 Edmund Hillary Avenue,, ,Papakura,2110,,-37.0591621,174.9543076
CC49170,The Earle Manawatu/Rangitikei Creativity and Development Trust,Public Trust Tower,Level 2,22 Willeston Street,Wellington,6011,,-41.2864564,174.7767067
CC48666,Kapiti Coast Museum Incorporated,9 Elizabeth Street,, ,Waikanae,5036,,-40.8779579,175.0670777
CC48387,Twizel-Tekapo Community Vehicle Trust Board,Twizel Heartland Centre,Mt. Cook Street, ,Twizel,7901,,-44.2557497,170.0978533
CC48621,SADD Aotearoa - Students Against Dangerous Driving Charitable Trust,20 Viaduct Harbour Avenue,P O Box 5,Auckland Central,Auckland,1010,,-36.845762,174.7571772
CC48872,RJ & MI Ross No. 2 Charitable Trust,41A Merani Street, ,Narrow Neck,Auckland,0622,,-36.8090048,174.7959678
CC48468,The Wellington Breastfeeding and Parenting Trust,Flat 5,Erskine Mews,Island Bay,Wellington,6023,,-41.3336553,174.7771041
CC48478,Waipawa Primary School Whanau and Friends Association,6 Harker Street,, ,Waipawa,4210,,-39.9430721,176.5899706
CC49055,Third Space Trust,37 Oranga Avenue,Phoenix Apartments 135 Grafton Road,Onehunga,Auckland,1061,,-36.9099638,174.7987983
CC48517,Kidz Need Dadz Charitable Trust Bay Of Plenty (Incorporated),538 Fraser Street, ,Greerton,Tauranga,3112,,-37.7275593,176.141943
CC48459,R.E.K.A. Trust,88A Pahou Pa Rd,Whakatane 3120, ,Whakatane,3120,,-37.984218,176.9784882
CC48382,Serbian Orthodox Mission St Nicholas Trust,15 Highfield Place, ,Avonhead,Christchurch,8042,,-43.5180158,172.5616083
CC48460,Devonport RSA Poppy Day Trust,61 Victoria Road, ,Devonport,Auckland,624,,-36.830224,174.7976564
CC48492,Special Olympics Bay Of Islands Trust,PO Box 518,, ,Kaikohe,0440,,-35.4081392,173.7986091
CC48638,Vahefonua Tonga Methodist Mission Charitable Trust,636 Great South Road, ,Ellerslie,Auckland,1051,,-36.8998874,174.8051155
CC48463,Rotary Club Of Whangarei City Charitable Trust,14 Cliff Street, ,Onerahi,Whangarei,0110,,-35.7747254,174.3609732
CC48465,Fountain of Peace Children's Foundation New Zealand,159 Spey Street,Invercargill 9810, ,Invercargill,9810,,-46.4099653,168.352986
CC49350,Fale Pasifika O Aoraki Trust Society Incorporated,39 North Street,, ,Timaru,7910,,-44.4003302,171.250822
CC48462,Pioneer Basketball Club Incorporated,75 Lyttelton Street,Lyttleton,Somerfield,Christchurch,8024,,-43.5660982,172.6140486
CC48483,Methodist Church Samoa (New Zealand) Onehunga Parish,66 Alfred Street, ,Onehunga,Auckland,1061,,-36.9205264,174.7939224
CC48530,The Maureen Raison Charitable Trust,C/- Carter Atmore Law Ltd,"Level 3, 57 Symonds St",Grafton,Auckland,1010,,-36.8564989,174.7650976
CC48471,Manawatu Deaf Society Incorporated,55B Totara Road, ,Awapuni,Palmerston North,4412,,-40.3831067,175.5818467
CC48851,Seaward Downs Play Group,348 Kapuka North Road,RD 3,Oteramika,Wyndham,9893,,-46.4277068,168.6242754
CC48480,Ranichauri Eastwoodhill Trust,77 Austin Street, ,Onekawa,Napier,4110,,-39.4998208,176.8779544
CC48762,THE C G TATE CHARITABLE TRUST,c/- McGillivray Callaghan & Co.,P O Box 79123,Avonhead,Christchurch ,8446,,-43.5103164,172.5564539
CC48479,The Tonar Street Athletics Trust,85 Beach Haven Road, ,Beach Haven,Auckland,0626,,-36.7916004,174.6854663
CC48985,CAPITAL GYMNASTIC CLUB INCORPORATED,11 Hutchison Road,11 Hutchison Road,Newtown,Wellington,6021,,-41.309075,174.77288
CC48477,The Matahui Road School Foundation Trust,267A Wharawhara Road,RD 2,Tahawai,Katikati,3178,,-37.5728679,175.882343
CC49181,Thomas Neale Charitable Trust,42 Winger Crescent,, ,Kamo,112,,-35.6716404,174.3005977
CC48611,WELLINGTON MOUNTAIN BIKE CLUB INCORPORATED,70 Sefton Street, ,Wadestown,Wellington,6012,,-41.2614997,174.779968
CC49711,Whakatane Menz Shed Incorporated,30 Te Tahi Street,, ,Whakatane,3120,,-37.9787272,176.9842537
CC48973,College Rifles Badminton Club Incorporated,33 Haast Street, ,Remuera,Auckland,1050,,-36.8835891,174.8136197
CC48501,Thinking Matters New Zealand Foundation,42 Piata Street,,,Papamoa,3118,,-37.7297978,176.341929
